word,rawFreq,invDocFreq,rank
of the,58112,3.8342180923630735,0
in the,50534,3.973943898276625,1
i am,42914,4.137392162319013,2
i love,39851,4.211442776317644,3
to be,33209,4.39376935181883,4
is my,28778,4.536979069000676,5
my own,28526,4.545774323240671,6
is a,28041,4.5629225504733455,7
im a,27220,4.5926382781185815,8
for the,25883,4.643003892798306,9
to the,23922,4.721791737714629,10
are my,22980,4.761966002921293,11
the world,22813,4.769259726431164,12
is the,21515,4.827839909051339,13
if you,20210,4.8904127439263725,14
on the,20087,4.896517435689491,15
i like,18806,4.962414307487017,16
and i,17760,5.019641537777878,17
just a,17569,5.030454289958985,18
with a,17560,5.0309666871349314,19
the best,17088,5.058213812564118,20
my life,16480,5.094442750860576,21
i dont,15811,5.135884375013894,22
and the,15371,5.164107658099106,23
lover of,14774,5.2037213962353555,24
i have,14738,5.206161082997094,25
and a,14372,5.23130840609063,26
in a,14209,5.242714708685964,27
follow me,14197,5.243559600660465,28
am a,13704,5.278902514320083,29
we are,13334,5.306273111146034,30
of my,12637,5.3599612565653585,31
fan of,12567,5.3655159447088945,32
life is,12172,5.397452043307177,33
in my,12157,5.398685139768245,34
with the,11994,5.412183750595584,35
trying to,11884,5.42139731774154,36
of a,11797,5.428745013482197,37
from the,11796,5.428829784388872,38
for a,11638,5.442314669107423,39
want to,11471,5.456768164042771,40
you can,11230,5.47800150659155,41
at the,10944,5.503798914461707,42
official twitter,10615,5.534322180186682,43
this is,10337,5.560860583755554,44
have a,10247,5.569605295524321,45
be a,10215,5.572733047072316,46
all things,10173,5.576853123530291,47
all the,10079,5.586136223969161,48
a lot,9884,5.605672987215538,49
you are,9698,5.624670596658741,50
im not,9537,5.641411304745127,51
social media,9535,5.64162103628952,52
me on,9495,5.6458249310776525,53
i do,9340,5.662284023101151,54
to my,9249,5.672074837769779,55
to make,9062,5.692500429096955,56
university of,8858,5.715269269840896,57
i can,8645,5.739609156206648,58
im just,8513,5.754995868439982,59
in love,8281,5.782626541290338,60
love my,8266,5.784439559252362,61
i will,8006,5.81639901477152,62
of all,7964,5.821658889139952,63
but i,7889,5.83112089122895,64
on my,7764,5.847092610035138,65
not a,7658,5.860839422286799,66
what you,7646,5.862407640067681,67
the official,7527,5.878093719289507,68
member of,7443,5.8893162819641285,69
love to,7347,5.902298208703762,70
i want,7315,5.906663240869814,71
i was,7247,5.916002685214758,72
the most,7229,5.918489561323741,73
views are,7192,5.923620978172583,74
for all,7155,5.928778862333488,75
do not,7130,5.932279040915697,76
you dont,7114,5.934525601815638,77
is not,7091,5.937763901020042,78
tweets are,6997,5.951108789578142,79
my heart,6909,5.963765365835244,80
love you,6790,5.9811393337712975,81
what i,6730,5.990015131685265,82
twitter account,6710,5.992991324358312,83
like a,6694,5.995378672552767,84
will be,6667,5.999420291705979,85
like to,6622,6.006192836216847,86
a little,6594,6.010430130692362,87
it is,6466,6.0300325960386605,88
on a,6412,6.038419040594595,89
by the,6378,6.043735706754036,90
you want,6317,6.0533458634253385,91
living in,6277,6.059698116006507,92
my name,6252,6.063688862782672,93
is to,6186,6.074301601079024,94
to get,6183,6.074786684765471,95
a good,6158,6.078838225839593,96
i just,6148,6.080463449665553,97
author of,6136,6.082417211276947,98
video games,6106,6.087318381029216,99
love with,6101,6.088137583172187,100
as a,6093,6.089449704075545,101
one of,6080,6.0915855793638265,102
are not,6060,6.094880475260679,103
with my,6018,6.101835297134048,104
welcome to,5920,6.118253826445987,105
and more,5909,6.120113662978365,106
and my,5894,6.122655391026399,107
high school,5837,6.132373309120248,108
the latest,5833,6.133058827570402,109
check out,5794,6.139767375994743,110
