word,rawFreq,invDocFreq,rank
are my own,15857,5.132979232134471,0
i am a,12454,5.374548418891641,1
in love with,5677,6.160167351153313,2
views are my,5268,6.234939491460867,3
to be a,5145,6.258564906055889,4
the official twitter,4624,6.365330143971826,5
in the world,4617,6.36684513181705,6
my name is,4517,6.388742218669435,7
official twitter account,4325,6.432178134958059,8
at a time,4026,6.503816948124302,9
i love you,3923,6.529733608114486,10
i have a,3912,6.532541523169331,11
i like to,3855,6.547219268326609,12
opinions are my,3838,6.551638877756393,13
follow me on,3828,6.554247801751194,14
a lot of,3793,6.56343301263514,15
tweets are my,3533,6.634442906964893,16
i love my,3489,6.646975113137265,17
i am the,3410,6.669877984046476,18
i want to,3379,6.679010467609749,19
check out my,3212,6.729696479257386,20
im just a,3212,6.729696479257386,21
views my own,3042,6.784075081504801,22
you want to,2909,6.828780895828837,23
twitter account of,2898,6.832569431443411,24
if you dont,2815,6.8616280137502486,25
one of the,2740,6.888632354941923,26
of my life,2678,6.911520028072921,27
and i love,2565,6.954631796719169,28
i love to,2552,6.959712909859358,29
we are a,2481,6.987928570632238,30
member of the,2465,6.994398467847248,31
of all things,2460,6.99642892539763,32
is my life,2372,7.032856794206423,33
want to be,2337,7.0477222197851805,34
proud to be,2332,7.049864006853656,35
the university of,2314,7.0576126465704165,36
i dont know,2287,7.069349360301258,37
part of the,2278,7.0732924103169115,38
if you want,2208,7.104503146927053,39
# # #,2177,7.118642493089491,40
is the best,2171,7.121402384445747,41
are not endorsements,2127,7.141877739123801,42
welcome to the,2124,7.143289171962209,43
just trying to,2089,7.159904792767473,44
i am not,2080,7.164222381628675,45
around the world,2040,7.183640467485777,46
this is the,1951,7.228248213700928,47
official twitter page,1934,7.236999878310799,48
trying to make,1931,7.238552271895524,49
follow this account,1926,7.2411449619659685,50
this account for,1919,7.244786058316339,51
this is my,1898,7.255789575154166,52
i believe in,1895,7.257371436807512,53
big fan of,1884,7.26319309918773,54
who i am,1871,7.2701172280499495,55
life to the,1853,7.279784328038679,56
need help tweet,1850,7.2814046362516684,57
help tweet us,1837,7.2884564691089135,58
life is a,1835,7.2895457938353685,59
twitter account for,1833,7.290636306484334,60
i am an,1833,7.290636306484334,61
tweet us at,1832,7.2911820090899635,62
account for geotargeted,1826,7.294462493169125,63
us at careerarc,1826,7.294462493169125,64
job tweets in,1826,7.294462493169125,65
follow us for,1813,7.301607343569188,66
lover of all,1804,7.30658385370147,67
of the world,1772,7.324481423159012,68
to the fullest,1747,7.338690244189983,69
official twitter of,1705,7.363025164606421,70
add me on,1701,7.365373961928177,71
in that order,1697,7.367728289089812,72
the latest news,1678,7.3789876672968875,73
feel free to,1668,7.3849649714053465,74
i love the,1663,7.387967075131111,75
all views are,1658,7.390978218628798,76
we are the,1620,7.414164126097609,77
welcome to my,1595,7.429716539105094,78
my life is,1575,7.442335003064305,79
me on instagram,1574,7.44297012534669,80
in the making,1565,7.448704451349785,81
my tweets are,1549,7.45898071390717,82
my youtube channel,1540,7.464807858916364,83
of the year,1529,7.471976348394977,84
to be the,1503,7.489127164571064,85
this is a,1499,7.491792056221441,86
born and raised,1491,7.497143239559301,87
and i am,1485,7.5011755030872385,88
i tweet about,1485,7.5011755030872385,89
as well as,1480,7.504548187565878,90
author of the,1474,7.508610481574757,91
the love of,1463,7.516101153303914,92
me if you,1462,7.516784914014315,93
trying to be,1455,7.521584374718446,94
there is no,1451,7.524337301439851,95
you have to,1447,7.527097827692555,96
just a girl,1430,7.538915831070086,97
account of the,1425,7.542418461621288,98
all the time,1400,7.560118038720689,99
my own and,1398,7.561547631530283,100
the world is,1390,7.567286528199301,101
im not a,1368,7.583240456141543,102
to make a,1347,7.598710377913675,103
change the world,1336,7.606910200227448,104
you need to,1334,7.60840832784847,105
in my heart,1331,7.610659735928928,106
i can do,1324,7.615932817827085,107
rts are not,1320,7.618958538743622,108
video games and,1311,7.625800070560339,109
love my family,1305,7.6303872345672445,110
my best friend,1302,7.6326887315555245,111
fan of the,1297,7.636536370007595,112
what it is,1296,7.637307677411819,113
i follow back,1295,7.638079580190401,114
i live in,1288,7.64349964765974,115
in my life,1283,7.647389189708402,116
proud member of,1279,7.650511752745196,117
dont follow me,1270,7.657573374871402,118
a fan of,1237,7.683901181931551,119
day at a,1225,7.693649431345212,120
a little bit,1215,7.70184619854939,121
at the university,1214,7.702669582704595,122
the heart of,1205,7.7101107083992835,123
retweets are not,1198,7.715936775648644,124
rest in peace,1197,7.716771848766066,125
if you are,1194,7.719281260371491,126
twitter page of,1192,7.720957706698744,127
is what it,1192,7.720957706698744,128
i have no,1170,7.739586526532237,129
a passion for,1169,7.740441592851971,130
i just want,1167,7.742153922037483,131
who you are,1165,7.743869188324238,132
season ticket holder,1165,7.743869188324238,133
i was born,1162,7.7464476169121825,134
living in the,1148,7.7585689774445274,135
views expressed are,1143,7.762933890529228,136
a bit of,1142,7.763809164108083,137
expressed are my,1139,7.766439590876857,138
of the time,1135,7.769957624408536,139
to make it,1129,7.775257990174377,140
on the internet,1129,7.775257990174377,141
it is what,1125,7.778807239685518,142
and i like,1121,7.782369131251879,143
all the latest,1115,7.787735870429819,144
child of god,1109,7.793131566973671,145
never give up,1107,7.794936621615402,146
i dont care,1098,7.803099932254563,147
huge fan of,1098,7.803099932254563,148
no matter what,1097,7.804011094048809,149
one day at,1095,7.805835912073437,150
talk to me,1087,7.813168667202829,151
and lover of,1083,7.816855307323048,152
opinions my own,1077,7.82241087716765,153
what i do,1070,7.828931626868087,154
just a guy,1069,7.829866643298994,155
you dont like,1068,7.830802534803898,156
to be an,1068,7.830802534803898,157
the end of,1062,7.8364363525221545,158
official account of,1059,7.839265208722632,159
a good time,1054,7.843997825222731,160
for a reason,1054,7.843997825222731,161
in a world,1054,7.843997825222731,162
all views my,1050,7.84780011117247,163
and all things,1048,7.849706689443051,164
i do not,1046,7.851616909699171,165
in this world,1045,7.852573389925127,166
looking for a,1043,7.854489099323266,167
music is my,1035,7.8621888486245695,168
home of the,1033,7.8641230852044,169
i used to,1033,7.8641230852044,170
is the only,1029,7.868002818489989,171
in the uk,1025,7.871897662751531,172
and i will,1023,7.873850788372413,173
is not a,1021,7.8758077361593735,174
i dont have,1014,7.882687370172911,175
one and only,1007,7.889614661605476,176
dont have to,1004,7.8925982540723645,177
you dont have,1003,7.893594766362104,178
love of my,1002,7.894592272679229,179
not affiliated with,1002,7.894592272679229,180
the best of,993,7.903614890278866,181
will always be,988,7.908662856576171,182
class of 2017,981,7.915773094758675,183
of the most,979,7.9178139117935284,184
black lives matter,977,7.919858902281256,185
just want to,974,7.922934250681504,186
as long as,973,7.923961472138034,187
the power of,968,7.929113467047462,188
soon to be,966,7.931181720111521,189
be the best,963,7.934292142525913,190
i can be,962,7.935331103658332,191
if you have,956,7.941587641272638,192
need to know,953,7.944730650669837,193
here for the,953,7.944730650669837,194
you dont know,952,7.945780519532674,195
lover of life,948,7.949991052069017,196
this account is,941,7.9574024147386595,197
follow me and,940,7.958465679059989,198
is my passion,938,7.960595605317814,199
its all about,936,7.962730077846447,200
dont know what,934,7.964869116095196,201
used to be,931,7.968086277046972,202
with a passion,926,7.973471319677859,203
i love music,926,7.973471319677859,204
and im a,924,7.975633482682355,205
for the latest,923,7.976716319821187,206
if you cant,912,7.988705564249708,207
what i want,909,7.99200046014656,208
the world of,907,7.994203104208903,209
i dont want,907,7.994203104208903,210
is the official,903,7.998623000907053,211
me on ig,902,7.999731034261415,212
what you want,901,8.000840296715701,213
for a living,900,8.001950790999729,214
mission is to,896,8.006405141349108,215
follow me i,891,8.01200112685323,216
a girl who,891,8.01200112685323,217
your source for,887,8.01650057201446,218
i dont like,883,8.021020353720079,219
to help you,881,8.023287928387859,220
live life to,875,8.030121667966425,221
on a mission,869,8.037002429058647,222
up to date,867,8.039306577543497,223
the united states,863,8.043930863240611,224
do all things,860,8.047413165076485,225
the rest of,859,8.048576632339783,226
follow us on,858,8.049741454836077,227
girl with a,852,8.056759027494723,228
who loves to,851,8.057933425750665,229
and i have,851,8.057933425750665,230
trying to get,851,8.057933425750665,231
out of the,847,8.062644859671984,232
all you need,845,8.065008926966865,233
can do all,843,8.067378596322184,234
all over the,843,8.067378596322184,235
subscribe to my,842,8.068565540081712,236
happens for a,841,8.069753894351091,237
account for the,838,8.073327453841955,238
if you like,838,8.073327453841955,239
to have a,836,8.075716941239337,240
can call me,834,8.078112151965293,241
of the best,832,8.08051311350283,242
goal is to,828,8.085332399938778,243
do what you,827,8.086540859300348,244
i live for,825,8.088962167989358,245
im in love,823,8.091389353646969,246
in the heart,821,8.093822444871611,247
to the world,821,8.093822444871611,248
im here to,819,8.096261470470969,249
i was a,817,8.098706459464037,250
to be happy,816,8.099931199359933,251
you can find,814,8.102385188321499,252
want to see,814,8.102385188321499,253
work in progress,812,8.104845214162362,254
they call me,812,8.104845214162362,255
my family and,812,8.104845214162362,256
i try to,811,8.106077500208626,257
the only thing,810,8.107311306657554,258
twitter page for,808,8.109783495802944,259
follower of jesus,805,8.113503276905476,260
make a difference,805,8.113503276905476,261
the world and,804,8.114746285145072,262
everything happens for,802,8.117236946457524,263
as much as,800,8.11973382665611,264
click the link,799,8.120984608557764,265
father of two,797,8.123490875533824,266
what im doing,796,8.124746368479656,267
trying to find,796,8.124746368479656,268
us on facebook,793,8.12852233268919,269
i just wanna,793,8.12852233268919,270
opinions are mine,791,8.131047586556384,271
things in life,787,8.136117305906636,272
in my own,786,8.137388761894833,273
in the end,785,8.13866183654163,274
from around the,783,8.141212858333235,275
official twitter feed,782,8.142490813778728,276
that i am,780,8.145051634640401,277
lover of the,780,8.145051634640401,278
is one of,778,8.147619030145647,279
fall in love,778,8.147619030145647,280
host of the,777,8.148905203956392,281
husband and father,775,8.151482524970692,282
is my favorite,775,8.151482524970692,283
you can call,771,8.156657180760709,284
here are my,771,8.156657180760709,285
just your average,771,8.156657180760709,286
we are all,769,8.159254584818395,287
god is good,769,8.159254584818395,288
in life is,763,8.167087523039582,289
the link below,763,8.167087523039582,290
i will be,762,8.168398998637393,291
dont give a,759,8.17234377692841,292
call of duty,757,8.17498230088659,293
has my heart,757,8.17498230088659,294
dont want to,757,8.17498230088659,295
makes you happy,755,8.177627805075014,296
im just here,755,8.177627805075014,297
out my youtube,751,8.182939902559903,298
check out our,751,8.182939902559903,299
you can be,750,8.184272347793684,300
life is too,748,8.186942576349562,301
all the way,748,8.186942576349562,302
living the dream,745,8.190961335944479,303
is to be,745,8.190961335944479,304
for the best,745,8.190961335944479,305
follower of christ,744,8.192304519490946,306
family and friends,743,8.19364950960628,307
me and i,740,8.197695368125823,308
die hard fan,738,8.200401729723566,309
little bit of,735,8.204475055111203,310
and i dont,733,8.207199852437387,311
for all things,733,8.207199852437387,312
live in the,733,8.207199852437387,313
follow me for,732,8.208565040362727,314
to my youtube,731,8.20993209457426,315
im going to,728,8.214044506127353,316
do what i,726,8.216795539499243,317
all of the,725,8.218173899469365,318
living in a,724,8.219554161938323,319
are my life,722,8.222320415431213,320
my life and,718,8.227875985275814,321
the walking dead,715,8.23206301163003,322
play video games,714,8.233462591984454,323
a lover of,714,8.233462591984454,324
of my employer,713,8.234864133909744,325
a better place,713,8.234864133909744,326
you can do,712,8.236267642912063,327
all opinions are,711,8.237673124520798,328
till i die,711,8.237673124520798,329
views are mine,709,8.24049002779191,330
father of 2,709,8.24049002779191,331
official twitter for,708,8.241901460630318,332
all things through,706,8.244730316830797,333
father of 3,706,8.244730316830797,334
is too short,705,8.24614775151177,335
at the same,705,8.24614775151177,336
a part of,704,8.247567198165996,337
girl who loves,702,8.250412150298228,338
what you do,701,8.251837667289449,339
and much more,701,8.251837667289449,340
married to the,701,8.251837667289449,341
and raised in,701,8.251837667289449,342
class of 2018,700,8.253265219280634,343
is what you,697,8.257560143563515,344
going to be,697,8.257560143563515,345
to become a,696,8.258995893989619,346
hard fan of,696,8.258995893989619,347
the most beautiful,696,8.258995893989619,348
but you can,695,8.260433708759248,349
life is good,695,8.260433708759248,350
married to my,695,8.260433708759248,351
is better than,693,8.263315555134136,352
to make the,692,8.26475959870637,353
i dont need,692,8.26475959870637,354
more than i,691,8.266205730556369,355
brb waiting for,691,8.266205730556369,356
necessarily in that,688,8.270556716390695,357
a long time,686,8.273467926598153,358
for all the,685,8.274926716061813,359
me on snapchat,684,8.276387636701488,360
never walk alone,684,8.276387636701488,361
make the world,681,8.280783248174526,362
i love god,681,8.280783248174526,363
to do with,681,8.280783248174526,364
you have a,680,8.282252756153886,365
most of the,679,8.283724426765342,366
too short to,677,8.286674281411765,367
we do not,673,8.292600224679312,368
lost in the,673,8.292600224679312,369
if you can,672,8.29408721380089,370
know how to,672,8.29408721380089,371
not an endorsement,671,8.295576417352358,372
dedicated to the,671,8.295576417352358,373
the world a,669,8.29856149419581,374
for a good,667,8.301555508408414,375
have to be,666,8.30305588378365,376
rest in paradise,664,8.306063404847604,377
of my own,663,8.307570564138176,378
there is a,662,8.30907999838703,379
not necessarily in,662,8.30907999838703,380
all tweets are,662,8.30907999838703,381
hi my name,661,8.310591714472352,382
america great again,659,8.313622019821532,383
